 Насос АКС станка 16К40
 Контактное/изоляционное кольцо на муфту У41.84 и щеткодержатели для электромагнитных муфт
 Износостойкие ролики для поверхностного упрочнения металлических изделий
 Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40
 Верхний суппорт в сборе токарно-винторезных станков 1М63,1.0М63Н,ДИП300
 Обработка мостика задней бабки станка 1М63Н на расточном станке,,,,,,,,,,,
 Захваты инструмента фрезерных станков 6Т13,ГФ2171,6.0Т82,6.0Р82,6.0Р82Ш,6Р12 и т.д.,,,,,,
 Конические прижимы инструмента револьверных головок 1П756ДФ3.40.000 и 1П756ДФ3.39.000,,,,,,,,,,,,,
 Ремкомплект корпус гайки, втулки, червяк для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.,,,,,,
 Помпы подачи СОЖ для станков и промышленного оборудования,,,,,,,,,,,,,
 Шестерня вал для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.,,,,,,,,
 Рычаг коробки подач станков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 Шпиндель для сверлильных станков 2К52,2532.0 Л,,,,,,,,,,,,
 Диски фрикционные для кран балок,,,,,,,,,,,,,
 Вал шестерня фартука токарно-винторезного станка мод. 1К62,,,,,,,,,,,,,
 Переходная втулка (1М63,1М63Н и т.д.) центр конус морзе6 для токарных станков,,,,,,,,,,,,
 Шестерня, втулка, кулачок резцедержателя (ответная часть) станков 1М63Н,1.0М63,163,ДИП300,16.0000000,,,,,,,
 Маточная гайка для токарно-винторезных станков мод. 1М65,1Н65.РТ117,РТ817, ДИП500,,,,,,,,,,
 Вал 6-ти шлицевой для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,,,,,,,,
 Капитальный ремонт ШВП (80х10мм. Шарико-винтовой пары, передачи) карусельного станка 1516Ф3,,,,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) для перемещения суппортов колесо-токарного станка мод. КЖ1836.10МФ3 (Российского производства),,,,,,,,,,,,
 Ролики для неподвижных люнетов станков 1М63,1.0М63Н,16.0000000,1.0М65,1.0Н65, ДИП 300, ДИП400, ДИП500,,,,,,
 Шестерня сварная для фрезерного станка FU450,,,,,,,,,,,,,
 Шестерня фартука с бронзовым червячным венцом для станков 1М63,1.0М63Н,16.0000000,1.0Н983,,,,,,,,,,
 Шлифование шпинделей станков,,,,,,,,,,,,,
 ШВП шарико-винтовая пара (передача 30.06.600 для станка с ЧПУ 1В340Ф3,,,,,,,,,,,,,
 Промышленная электроника переключатели ПК и концевики для промышленного оборудования и станков,,,,,,,,,,,,,
 Шестерни конические с круговым зубом для карусельных станков 1512,1516,,,,,,,,,,,,
 Шестерни горизонтально-расточного станка 2Н636ГФ1,,,,,,,,,,,,,
 Диски фрикционные для станков 16Р25П,16.0Р25,16.0Р25В,,,,,,,,,,,
 Вкладыши (бронза) для прессов мод. Zanni 200 (Италия),,,,,,,,,,,,,
 Коробка подач в сборе станков мод. 1М63,1.0М63Н,ДИП300,16.0000000,,,,,,,,,,
 Резцедержатель (корпус) для токарно-винторезных станков мод. 1М65,1.0Н65,165,ДИП500,РТ117,РТ817,,,,,,,,
 Фланец шкива - шпиндельная бабка, коробка скоростей станков 1М63 1М63Н ДИП300 16К40,,,,,,,,,,,,
 Венец (колесо зубчатое) токарного патрона Ø 1000мм. станков 1М65, ДИП500,165,1.0Н65, РТ117, РТ817,,,,,,,,
 Манжета револьверной головки 1П756ДФ3.39.000,,,,,,,,,,,,,
 Экран защиты зоны резания и патронов станков 16К20,1.0К62,16.0Б16,,,,,,,,,,,
 Вкладыши (бронза) для кривошипных прессов мод. КЕ2330,,,,,,,,,,,,,
 Кулачок- концевик продольного перемещения фартука для станков 1Н983,1.0М983,1.0А983, РТ983, СА983, и т.д.,,,,,,,,
 Нониусы(лимбы) для станков мод. 16Р25П и т.д.,,,,,,,,,,,,,
 Этапы производства и сборки специального бандажировочного станка мод. РТ5004 для РЖД,,,,,,,,,,,,,
 Маточная гайка для станков мод. 1М63,1.0М63Н, ДИП300,16К40 с РМЦ 5000мм.,,,,,,,,,,
 Кулачки зажима колесной пары для колесотокарных станков мод.КЗТС1836,,,,,,,,,,,,,
 Ходовые винты (с маточной гайкой) специальных трубных станков мод. 1Н983,1.0А983,1.0М983,СА983,РТ983,,,,,,,,,
 Винт с гайкой поперечной подачи 16К20 (стандартный и удлиненный на 100мм.),,,,,,,,,,,,,
 Гайка (бронза) головки 1П756ДФ3.40.000,,,,,,,,,,,,,
 Шпиндель шлифовальных станков,,,,,,,,,,,,,
 Винт поперечный- кареточный (винт две гайки- чугун) (Для станков 1М65,165, ДИП500, РТ117, РТ817 и т.д.),,,,,,,,,
 Патрон 3-х кулачковый ф.250мм. с комплектом обратных кулачков (3шт.) 3-250.35.11.004,,,,,,,,,,,,,
 Шестерня 16К20.061.441 и вал шестерня 16Б20П.061.070/01 токарно-винторезного станка мод. 16К20,,,,,,,,,,,,,
 Блок шестерня, кулачковая z22m3,5/z22m3,5 (Для специальных токарных станков с ЧПУ мод. 1П756ДФ3),,,,,,,,,,
 Система СОЖ в сборе для станка мод. FSS 400, FSS 450,,,,,,,,,,,,
 Шпиндель в сборе с пинолью и втулками (бронза) станков 2Н125,2.0Н135,,,,,,,,,,,,
 Болты для резцедержателей М22х2мм ( для ремонтных резцедержателей),,,,,,,,,,,,,
 Якорь для станков 1Н983,1.0М983,1.0А983, РТ983, СА983,РТ783 и т.д.,,,,,,,,
 4-х кулачковые механизированные патроны для обработки заготовок ф. 1250и 1500мм.,,,,,,,,,,,,,
 Шестерни фартука станков мод. СА630 (z-41,m-2 z-17,m-2),,,,,,,,,,,
 Винты в комплекте с гайками для люнетов станков 1М63 1М63Н 16К40 1М65 1Н65 РТ117 РТ817 ДИП300 ДИП400 ДИП 500,,,,,,,,,,,,,
 Диски фрикционные 1М63.21.387 и 1М63.21.388 для станков 1М63,1.0М63Н, ДИП300,16.0000000,,,,,,,,,,
 Головка электромеханическая ЭМГ-50 для фрезерных, расточных станков и промышленного оборудования,,,,,,,,,,,,
 Тарельчатые пружины для револьверных головок УГ9321,УГ9326 и т.д.,,,,,,,,,,,,
 Специальные блоки для револьверных головок 16М30Ф3,,,,,,,,,,,,,
 Нониусы(лимбы) для станков мод. 1М63,1.0М63Н,16.0000000, 1М65 и т.д.,,,,,,,,,,
 Вал шлицевой зажима разжима кулачков токарных патронов станков 1Н983,1.0А983,1.0М983,РТ983,,,,,,,,,,
 Запасные части для Револьверных головок РГ УГ 9326 (блок зубчатых колёс УГ9311.0200.53, колесо зубчатое УГ 9311.0200.55, Водило- вал эксцентрик УГ9311.0207.000, колесо зубчатое подвижное УГ9311.0200.057,,,,,,,,,,
 Запасные части для фрезерных станков FU-450 (вал-шестерня FU-400.15.10.327, колесо FU-400.15.10.323, колесо FU- 400.15.10.324, колесо FU-400.15.10.301, венец колёса зубчатого FU-400 15.10.302, венец колёса зубчатого FU-400.15.10.303, венец колёса зубчатог,,,,,,,
 Ручка - капля М10, М12 (пластик) для промышленного оборудования и станков- промышленная фурнитура,,,,,,,,,,,,
 Конические пары с прямым и круговым зубом до 6 класса точности до m-26, D- 2 500 мм (в т.ч. гипоидные пары),,,,,,,,,,,,
 Фланец вала первой оси - шпиндельная бабка, коробка скоростей станков 1М65 1Н65 ДИП500 165,,,,,,,,,,,,
 Пиноли накатного устройства станка РТ30101 (РТ301),,,,,,,,,,,,,
 Рейка для станков 1М65,1.0Н65,1.0М63Н,1.0М63,16.0000000, РТ117, РТ817,,,,,,,
 Шестерни фартука для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,,,,,,,,
 Нониусы(лимбы) поперечной подачи для станков 1М65,1.0Н65, ДИП500, РТ117,РТ817,165 и т.д.,,,,,,,,
 Электромагнитные муфты 8201214С1 БИНДЕР,,,,,,,,,,,,,
 Пневмораспределители для промышленного оборудования,,,,,,,,,,,,,
 Кулачок-малый (левый, правый) для специальных колесотокарных станков РТ905,РТ905Ф1,РТ905Ф3,,,,,,,,,,
 Кулачок-сектор зубчатый (левый, правый) для специальных колесотокарных станков UBB112, UBB112РГ, UBB112Ф3,,,,,,,,,,
 Болты для резцедержателей М16х2мм,,,,,,,,,,,,,
 Зубчатое колесо шпинделя m-5 z-75 (Для станков 1М65 1Н65 ДИП500 165, РТ117, РТ817),,,,,,,,,,,
 Патроны цанговые с набор цанг для промышленного оборудования,,,,,,,,,,,,,
 Блок-шестерни и муфта консольно-фрезерных станков мод. FSS 400,,,,,,,,,,,,,
 Шестерни вала зажима разжима кулачков специальных трубообрабатывающих станков РТ783,РТ783Ф3,,,,,,,,,,,,
 Планетарный редуктор в сборе для револьверных головок УГ9326,,,,,,,,,,,,,
 Подшипники для различного промышленного оборудования и станков,,,,,,,,,,,,,
 Диск головки 1П756ДФ3.39.000,,,,,,,,,,,,,
 Гидрораспределители для промышленного оборудования,,,,,,,,,,,,,
 Венец (колесо зубчатое) токарного патрона Ø 630мм. станков РТ783,РТ783Ф3,,,,,,,,,,,,
 Предназначение ручки переключения фрикциона основной в сборе с кронштейнами станков 1М63,1.0М63Н,ДИП300,16.0000000,,,,,,,,,,
 Вилка переключения фрикциона 16К20.020.074 токарно-винторезного станка мод. 16К20,,,,,,,,,,,,,
 Микропереключатели для Револьверных Головок 1П756ДФ3, 16М30Ф3, 16К30Ф3,,,,,,,,,,,
 Станок токарно-винторезный 1М63Н (1М63) РМЦ 2800мм.,,,,,,,,,,,,,
 Поддоны (лотки) приема масла токарно-винторезных станков мод. 16К20,16.0К25,,,,,,,,,,,,
 Конические круглозубые шестерни для станка продольно-фрезерного мод. 6620,,,,,,,,,,,,,
 Конические шестерни фартука станка 1М63Н,1.0М63,163,ДИП300,16.0000000,,,,,,,,,
 Пружины фрикциона станков 6Т13,6.0Т12,6.0Р12,6.0Р13,6Р82Ш и т.д.,,,,,,,,,
 Шестерни для станков 16М30Ф3,16К30Ф3,,,,,,,,,,,,
 Шестерни фартука станков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 Винт поперечный под конусную линейку, кареточный (винт две гайки) для станков 1М63,163,1.0М63Н,16.0000000,,,,,,,,,
 Кронштейн задний 1М63.14.048 для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101, 16К40 и т.д.,,,,,,,,
 Кронштейн (телефонная трубка) фартука станков 1Н65,1.0М65,165,ДИП500, РТ117,РТ817,,,,,,,,
 Клинья для токарных станков мод. 1А660,,,,,,,,,,,,,
 Клиновые опоры (чугун) исполнение 110,130,140,,,,,,,,,,,
 Клиновые опоры (чугун) исполнение 110,130,140,,,,,,,,,,,
 Вал шлицевой зажима разжима кулачков в комплекте с шестернями токарных патронов станков СА983,,,,,,,,,,,,,
 Валы фрикционные (фрикционы) 2М55,2.0М58,,,,,,,,,,,,
 Клиновые ремни для промышленного оборудования,,,,,,,,,,,,,
 Шкив, вал шлицевой, конус консольно-фрезерных станков мод. FSS 400,,,,,,,,,,,
 Гайка маточная ( с корпусом) для станков 1М63,1.0М63Н,16.0000000,1.0Н65,1М65 и т.д.,,,,,,,,,
 Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400,,,,,,,,,,,,,
 Концевые переключатели (концевики) (для промышленного оборудования и станков),,,,,,,,,,,,,
 Резцовые салазки для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101, 16К40 1Н983,1.0А983,1.0М983,РТ983,,,,,
 Люнет напольный, отдельно стоящий для станков мод. 1Н983,1.0А983,1.0М983,РТ983, СА983,,,,,,,,
 Зубчатое колесо третьей оси m-4 z-42 1А64.02.861 (Для станков 1М65 1Н65 ДИП500 165),,,,,,,,,,,,,
 Ходовые винты (с маточной гайкой) токарно-винторезных станков мод. 16К20,1.0К62,,,,,,,,,,,,
 Магнитная стойка для станков и промышленного оборудования,,,,,,,,,,,,,
 Насос смазки коробки скоростей 6М82.1.14 (в сборе. карболит) для фрезерных станков,,,,,,,,,,,,,
 Вал 2-ой оси 1К62.02.320СБ(для токарно-винторезных станков 1К62),,,,,,,,,,,,,
 Пружины для Револьверных Головок 16М30Ф3и 16К30Ф3,,,,,,,,,,,,,
 Копир для токарно-винторезных станков мод. 1М63,1.0М63Н,163,ДИП300,16.0000000,,,,,,,,,
 Конические шестерни фрезерных станков 6Р12,6.0Р13,6Р82 и т.д.,,,,,,,,,,,
 Шкив вала первой оси с фланцами и проставками для станков 1М65,1.0Н65,165,ДИП500,165, РТ117,РТ817,,,,,,,
 Модернизированные кулачки станка специального токарно-накатного мод. РТ-917 РМЦ 3000мм для патрона Ф1000 мм.,,,,,,,,,,,,,
 Токарно- винторезный станок мод.16Р40 РМЦ 3000мм с частотным регулированием,,,,,,,,,,,,,
 Винт с гайкой поперечной подачи 16К20.050.401/201/202,,,,,,,,,,,,,
 Трубки (системы) подачи СОЖ (для промышленного оборудования и станков),,,,,,,,,,,,,
 Конические шестерни верхнего суппорта станка 1М63Н,1.0М63,163,ДИП300,16.0000000,,,,,,,,,
 Лимб в сборе фрезерных станков FSS 400, FSS 315 и FSS 450 немецкого производства,,,,,,,,,,,,
 4-х кулачковые механизированные патроны для обработки заготовок ф. 800мм,,,,,,,,,,,,,
 Стержень резцедержателя для токарно-винторезных станков мод. 1М63,1.0М63Н,163,ДИП300,16.0000000, ДИП400,,,,,,,,
 Шестерни с круглым зубом зубчатых муфт,,,,,,,,,,,,,
 Шомпол станков 6Т12,6.0Т13, ГФ2171,,,,,,,,,,,
 Токарно-винторезный станок РСС 562-2,,,,,,,,,,,,,
 Маточная гайка для токарно-винторезных станков мод. 1М63,1.0М63Н, ДИП300,16.0000000,,,,,,,,,,
 Экран защиты зоны резания и патронов станков 16К20,1.0К62,16.0Б16,,,,,,,,,,,
 ШВП поперечное трубных станков РТ983Ф3 и СА983Ф3 (50х10мм),,,,,,,,,,,,,
 Пружины накатного устройства станков РТ30101,РТ301,,,,,,,,,,,,
 Станок токарно-винторезный 1М63НФ1 с УЦИ,,,,,,,,,,,,,
 Запасные части для станков- муфта электромагнитная ЭТМ 096-2А в комплекте с дисками,,,,,,,,,,,,,
 Диски индексирующие для карусельных станков 1512,1516,1525,,,,,,,,,,,
 Капитальный ремонт ШВП (63х10мм. поперечная) станка С ЧПУ РТ755Ф3,,,,,,,,,,,,,
 Шатун в сборе с вкладышами бронза к прессам К2130С,К2130, К2130Б, К2132, КЕ2132, КГ2132, КВ2132, КД2330,,,,,,
 Валик шпиндельной бабки станков 16К40,,,,,,,,,,,,,
 Задняя бабка гидравлическая в комплекте с мостиком станков с ЧПУ 16К30Ф3,,,,,,,,,,,,,
 Шкив токарно-накатных станков РТ30101,РТ301,,,,,,,,,,,,
 Центр специального токарно-накатного станка РТ30101 (РТ301),,,,,,,,,,,,,
 Фильтр заливной для станков 16К20,,,,,,,,,,,,,
 Роликодержатели ( приспособления) для промышленного оборудования,,,,,,,,,,,,,
 Штурвал задней бабки станков 1М63,1.0М63Н,ДИП300,163,16.0000000,,,,,,,,,
 Шток гидроцилиндра,,,,,,,,,,,,,
 Ручка переключения фрикциона в сборе для станков 1М63,1.0М63Н,16.0000000,ДИП300,163,,,,,,,,,
 Муфта обгонная 1М63.06.900 для станков производства Тбилиси z-66,,,,,,,,,,,,,
 Запасные части для промышленного оборудования -ПЕРЕКЛЮЧАТЕЛИ крестовыеПК12,Микровыключатели серии МП1000,Микровыключатели серии МП1000М, Микровыключатели серии МП2000Л, Блок путевых микровыключателей БПМ 21, Путевые выключатели ВП61),,,,,,,,
 Станок токарно-винторезный 1М63Н,,,,,,,,,,,,,
 Вал-шестерня револьверной головки 1П756ДФ3.40.000,,,,,,,,,,,,,
 Винт с гайкой поперечной подачи для импортного оборудования,,,,,,,,,,,,,
 Винты к трубному патрону для импортных станков,,,,,,,,,,,,,
 Магнит револьверной головки 1П756ДФ3.40.000,,,,,,,,,,,,,
 Шестерня и Вал-рейка гидравлического механизма перемещения резцедержателя для станков 1Н983,1.0М983,1.0А983, РТ983, СА983,,,,,,,,,
 Переходная втулка с Морзе6 на Морзе5 (1М63,1М63Н и т.д.) в заднюю бабку токарных станков,,,,,,,,,,,,
 Кулачки для план шайб станков 1512,1516,,,,,,,,,,,,
 Винт поперечный в сборе для станков 1М63,1.0М63Н,163, ДИП300,16.0000000,,,,,,,,,
 Гайка ШВП для станков РТ755Ф3 поперечная, продольная (Российского производства),,,,,,,,,,,,
 Штурвал фартука, кронштейны и ручка переключения станка 16К20,,,,,,,,,,,,
 Клинья для станков мод. ИР1250,,,,,,,,,,,,,
 Ролики накатные специсполнение для РЖД,,,,,,,,,,,,,
 Линейные опоры качения роликовые,,,,,,,,,,,,,
 Штурвал задней бабки токарных станков 16К20,,,,,,,,,,,,,
 Специальный 2-х суппортной токарно-накатной станок мод. РТ30102 ПНР в РЖД,,,,,,,,,,,,,
 Центр ф. 100мм. для токарно-винторезных станков РТ817,,,,,,,,,,,,,
 Шестерни консольно-фрезерных станков мод. FU 400, FU 450,,,,,,,,,,,,
 Изготовление конических шестерен с круговым зубом,,,,,,,,,,,,,
 Центр упорный конус Морзе 5 для токарных станков и промышленного оборудования,,,,,,,,,,,,,
 Ролики упрочняющий,сглаживающий для токарно-накатных станков ф.от 110мм.-до200мм.,,,,,,,,,,,,
 Резцедержатель в сборе токарно-винторезных станков 1м63н,1.0м63,дип 300,16.0000000,,,,,,,,,,
 Вал шлицевой зажима разжима кулачков в комплекте с шестернями токарных патронов станков 1Н983,1.0А983,1.0М983,РТ983,,,,,,,,,,
 Шестерни, валы для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101, 16К40 1Н983,1.0А983,1.0М983,РТ983,,,,
 Центр ф. 100мм. для токарно-винторезных станков 165,1.0М65,1.0Н65, ДИП500,,,,,,,,,,
 Шестерни для токарно-винторезных станков 16К40(16Р40),,,,,,,,,,,,,
 Экран защиты зоны резания станков 6Т12,6.0Т13,,,,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) для специальных станков UBB112Ф3, UBR поперечная, продольная (Российского производства),,,,,,,,,,
 Электромагнитные муфты ЭТМ 102 1А , ЭТМ 112к 2А,,,,,,,,,,,,
 Кареточный винт 1М63 41 268 с гайками 1М63Б 40 106 и 1М63 04 119,,,,,,,,,,,,,
 Пружины для патрона РТ772Ф3 станка мод. РТ772Ф3,,,,,,,,,,,,,
 Вал для термопластавтоматов ( изготовление спецвалов),,,,,,,,,,,,,
 Обгонная муфта 1М63.06.900 (Для станков 163 ДИП300 1М63 1М63Н,,,,,,,,,,,,,
 Токарно-винторезный станок 16К20 РМЦ 750-2000мм.,,,,,,,,,,,,,
 Токарно-винторезный станок мод. 16К25 РМЦ 750-2000мм.,,,,,,,,,,,,,
 Токарно-винторезный станок мод. 16К40(16Р40) РМЦ 750-10000мм.,,,,,,,,,,,,,
 Специальный токарный станок с ЧПУ мод. 16М30Ф3 (16К30Ф3) РМЦ 1500-3000мм.,,,,,,,,,,,,,
 Специальный токарный станок с ЧПУ мод. 16Р40Ф3 РМЦ 750-10000мм.,,,,,,,,,,,,,
 Специальные лоботокарные станки мод. РТ911Ф1, РТ595, РТ411,,,,,,,,,,,
 Специальные лоботокарные станки мод. STR-500Ф3,,,,,,,,,,,,,
 Специальные токарные станки с ЧПУ мод. РТ117Ф3 РМЦ 1000-16000мм.,,,,,,,,,,,,,
 Специальные слиткообдирочные станки мод. РТ501,РТ502,РТ503,РТ901,РТ902,,,,,,,,,
 Специальные бандажировочные станки мод. РТ5003 и РТ5004,,,,,,,,,,,,,
 Специальный токарно-накатной станок мод. РТ301 и РТ30101,,,,,,,,,,,,,
 Специальный токарно-давильный станок с ЧПУ мод. РТ305М,,,,,,,,,,,,,
 Токарно-винторезный станок мод. 16Р25П РМЦ 750-2000мм.,,,,,,,,,,,,,
 Изготовление пружин различных типов и конфигурации (большой длины),,,,,,,,,,,,,
 Вал 15-ой оси 6Т82 и шестерня 6Р82 для горизонтальных - консольно-фрезерных станков мод. 6Т82,6.0Р82,,,,,,,,,,,,
 Винты 1Н983.90.153 и сухари 1Н983.90.151 к токарному патрону 1Н983.90.000СБ (Для станков 1М983,1.0А983,1.0Н983, СА983, РТ983),,,,,,,,,
 Водило и шестерни Револьверной головки 1П756ДФ3.40.000, 1П756ДФ3.39.000,,,,,,,,,,,,
 Запасные части к прессам К2130Б,,,,,,,,,,,,,
 Тарельчатые пружины для станочного и промышленного оборудования,,,,,,,,,,,,,
 Шлифование направляющих поверхностей станин ,кареток, салазок суппорта,,,,,,,,,,,
 Винт/гайка суппорта16К20.040.402/013 для токарно-винторезных станков мод. 16К20 ( поворотка),,,,,,,,,,,,,
 Приводная шестерня z-48, m-5, Ф. 250мм. в комплекте с вал-шестерней перемещения венца токарного патрона для станков 1М65 1Н65 ДИП500 165 РТ117 РТ817,,,,,,,,,,,
 Ролики в комплекте с вилками для люнетов станков 1М63,1.0М63Н,16.0000000,1.0М65,1.0Н65,,,,,,,,,
 Блок резцовый РТ755Ф3.42.000 и РТ755Ф3.43.000,,,,,,,,,,,,,
 Гайки 16К30Ф323.30.024,1М63.03.037,1А983.30.007 (узел задняя бабка,,,,,,,,,,,
 Станок специальный токарно-накатной РТ30101, РТ301,,,,,,,,,,,,
 Втулка переходная центров для станков 1М65 1Н65 ДИП500 165, РТ117,РТ817,,,,,,,,,,,
 Станок трубообрабатывающий мод. РТ983,,,,,,,,,,,,,
 Клин суппорта для токарно-винторезных станков мод. 16К20,,,,,,,,,,,,,
 Муфта обгонная для станков 1Н983,1.0А983,1.0М983,РТ983 и т.д.,,,,,,,,,,
 Сменная головка для испытания триангеля (РЖД),,,,,,,,,,,,,
 Пружины возврата шпинделя 2К52,,,,,,,,,,,,,
 Шпиндель, подшипники, шестерня, штурвал задней бабки 1Н65 1М65 165 ДИП500 РТ117 РТ817,,,,,,,,,,
 Шестерни для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101,16.0000000,,,,,,,,
 Ходовые винты/валы для токарных станков 1М63,1.0М63Н,16.0000000,1.0Н65,1.0М65,ДИП300, ДИП500,,,,,,,
 (Щеткодержатели ЭМЩ2А(М) для электромагнитных муфт- Запасные части для станков,,,,,,,,,,,,,
 Муфта ЛИР 801-5-5 датчиков ЛИР и валов диаметром от 3 до 10мм.,,,,,,,,,,,,,
 Пиноли в комплекте с вилками для люнетов станков 1М63 1М63Н 16К40 1М65 1Н65 РТ117 РТ817 ДИП300 ДИП400 ДИП 500,,,,,,,,,,,,,
 Ремкомплект для токарно-винторезных станков мод. 16К20 (фрикционные диски, втулка, плунжерный насос, шайба ),,,,,,,,,,
 Винт/гайка суппорта для токарно-винторезных станков мод. 1М63,1.0М63Н,163, 16К40 ( поворотка),,,,,,,,,,
 Корпус гайки поперечного винта станка мод. FSS 400,,,,,,,,,,,,,
 Шток для прессов,,,,,,,,,,,,,
 Запасные части к прессам К2130С,К2130, К2130Б, К2132, КЕ2132, КГ2132, КВ2132, КД2330,,,,,,
 Центр поводкового патрона специального токарно-накатного станка РТ30101 (РТ301),,,,,,,,,,,,,
 Сектор резцедержателя токарно-винторезных станков 16К20,,,,,,,,,,,,,
 Диагональные кулачки зажима колесной пары для колесотокарных станков мод.КЗТС1836,,,,,,,,,,,,,
 Винт/гайка суппорта для специальных трубных станков мод. 1Н983,1.0А983,1.0М983, РТ983,СА983 ( поворотка),,,,,,,,,
 Пружина на фрезерный станок jutm 1834,,,,,,,,,,,,,
 Подгонка компенсаторов гайки швп импортного производства,,,,,,,,,,,,,
 Ходовой винт с маточной гайкой для токарных станков МК6132,,,,,,,,,,,,,
 Ручка переключения фрикциона (дублер на фартук) под вал для станков 1М63,1.0М63Н,16.0000000,ДИП300,163,,,,,,,,,
 Муфта шпиндельной бабки станков 1Н983,1.0А983,1.0М983,РТ983,,,,,,,,,,
 Втулки (бронза) станков 2Н125,2.0Н135,,,,,,,,,,,,
 Вал коробки реверса станков 1Н983,1.0А983,1.0М983,РТ983,,,,,,,,,,
 Капитальный ремонт ШВП (80х10мм. Шарико-винтовой пары, передачи) обрабатывающего центра ИР500ПМФ4,,,,,,,,,,,,
 Нониусы(лимбы) для станков мод. 1М63,1.0М63Н,16.0000000, 1М65. РТ117,РТ817 и т.д.,,,,,,,,,
 Ролики для люнетов станков 1М63,1.0М63Н,16.0000000,1.0М65,1.0Н65, ДИП 300, ДИП400, ДИП500,,,,,,
 Ручка в сборе для винта кареточного станков 1М63,16.0000000,1.0М65,1.0Н65,РТ117,РТ817,,,,,,,,
 Винт регулировочный КД2126Г-31А-051/401 для прессов мод. КД2126,,,,,,,,,,,,,
 Изготовление, модернизация, капитальный ремонт корпусных изделий токарных станков(бабка задняя 1М65),,,,,,,,,,,
 Лимб (в сборе: нониус, штурвал, зубчатое кольцо, зубчатая ось) токарно-винторезного станка мод. 1М65,,,,,,,,,,
 ШВП (Шарико-винтовая пара, передача) станка РТ905Ф3 (50х10мм),,,,,,,,,,,,
 Шарики для ШВП (шарико-витовых пар, передач) 5,953.0 и 5,553.0мм.,,,,,,,,,,
 Вал шлицевой в сборе 4-ой оси (Для станков 1М65 1Н65 ДИП500 165) шпиндельная бабка,,,,,,,,,,,,,
 Фрезерные станки мод. 6Т12,6.0Т13,6.0Т82,6.0Т83Г,6.0Т83Ш,6.0Р82, 6Т13Ф20, ГФ2171С6-02,,,,,,
 Колесотокарный станок с системой ОСУ модели РТ820Ф2 замена станка мод. РТ905Ф1,,,,,,,,,,,,,
 Колесотокарный станок с системой ЧПУ модели РТ820Ф3 замена станка мод. РТ905Ф3,,,,,,,,,,,,,
 Винт/гайка задней бабки для специальных трубообрабатывающих станков мод. 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 Зубчатое колесо седьмой оси (шпиндель) m-5 z-75 165.02.151 (Для станков 1М65 1Н65 ДИП500 165),,,,,,,,,,,,,
 Кулачки 1Н983.90.156 токарных патронов станков 1Н983,1.0А983,1.0М983,РТ983,,,,,,,,,,
 Ручка с наконечником (капля) М6, М8, М10 (пластик) для промышленного оборудования и станков- промышленная фурнитура,,,,,,,,,,,
 Вал фрикционный 16В20.20.900 для станков 16В20,,,,,,,,,,,,,
 Винт каретки для токарно-винторезного станка мод. 1М63(Тбилиси),,,,,,,,,,,,,
 Муфта пусковая(фрикцион, электромагнитная муфта, тормозная муфта) 1Н983.20.124 диски феродо для станков 1Н983,1.0М983,1.0А983, РТ983, СА983,РТ783 и т.д.,,,,,,
 Сектор зубчатый фрезерного станка мод. FU400,,,,,,,,,,,,,
 Венец (колесо зубчатое) токарного патрона Ø 720мм. станков 1Н983,1.0А983,1.0М983, РТ983, СА983,,,,,,,,,
 Шестерня 16К20.061.441 (в сборе: шестерня, вал, кольцо, рычаг) токарно-винторезного станка мод. 16К20,,,,,,,,,,
 Ручка переключения фрикциона (дублер на фартук) для станков 1М63,1.0М63Н,16.0000000,ДИП300,163,,,,,,,,,
 Шестерни для сверлильных станков- изготовление,,,,,,,,,,,,,
 Винт/гайка суппорта для токарно-винторезных станков мод. 1М65,1.0Н65,165, РТ117,РТ817 ( поворотка),,,,,,,,,
 Червячная шестерня поворота шпинделя консольно-фрезерного станка мод. FSS 400, FSS 450,,,,,,,,,,,,
 Ротор для револьверных головок УГ9326,,,,,,,,,,,,,
 Валы и шестерни для станков 1А64- шпиндельная бабка,,,,,,,,,,,,,
 Правила оформления табличек для токарно-винторезных станков и промышленного оборудования,,,,,,,,,,,,,
 Фартук и коробка подач станков 1М63,1.0М63Н,ДИП300,,,,,,,,,,,
 Защита направляющих каретки станков 1М65,1.0Н65,ДИП500,,,,,,,,,,,
 Производство болтов резцедержателей для токарно-винторезных станков серий 1М65,1.0Н65, РТ117, РТ817, ДИП500,,,,,,,,,
