
UID;Наименование;Url;Категория
BARABAN.FARTUK.16K20;Барабан - копир на фартук станка 16К20;http://project17325576.tilda.ws/tproduct/455688641932-baraban-kopir-na-fartuk-stanka-16k20;Узлы токарных станков;Узлы токарных станков>>>Фартуки
BLOKZUB.FARTUK.1M63.16360281;Блок зубчатый 1М63Б_60_281 (Фартук, модель 1М63);http://project17325576.tilda.ws/tproduct/241119624932-blok-zubchatii-1m63b60281-fartuk-model-1;Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки
BLOKSHEST.FSS400.2849;Блок-шестерни 28/49 консольно-фрезерных станков мод. FSS 400;http://project17325576.tilda.ws/tproduct/716340718182-blok-shesterni-2849-konsolno-frezernih-s;Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки
BLOKSHEST.FSS400.2849;Блок.шестерни 28/49 консольно.фрезерных станков мод. FSS 400;http://project17325576.tilda.ws/tproduct/173508610092-blokshesterni-2849-konsolnofrezernih-sta;Комплектующие к узлам токарных станков;Комплектующие к узлам токарных станков>>>Кулачки
VINT.1K62.VS;Вал подач 1К62;http://project17325576.tilda.ws/tproduct/756448373952-val-podach-1k62;Узлы токарных станков;Узлы токарных станков>>>Винты, ШВП, валы
